Peso;Nome
42;Avenida Norte Miguel Arraes de Alencar
4;Avenida Visconde de Suassuna
5;Avenida Conselheiro Aguiar
1;Rua Padre Landim
33;Avenida Recife
2;Avenida Agostinho Gomes
1;Rua Francisco Leopoldino
26;PE-007
2;Rua Antonio Curado
7;Avenida Conde da Boa Vista
25;Avenida Engenheiro Abdias de Carvalho
4;Avenida Mario Melo
4;Avenida Mario Melo
14;Estrada de Belem
10;PE-005
26;PE-007
2;Ladeira da Cohab
20;Avenida Doutor Jose Rufino
5;Rua Barao de Souza Leao
1;Rua Pintor Lula Cardoso Ayres
1;2764
5;Avenida Beira Rio
36;Avenida Governador Agamenon Magalhaes
16;Avenida Sul Governador Cid Sampaio
2;Rua Souza Bandeira
1;Rua Farias Neves
3;Rua Manoel de Brito
2;Avenida Alfredo Lisboa
5;Viaduto Capitao Temudo
7;Rua Conego Barata
30;PE-008
42;Avenida Norte Miguel Arraes de Alencar
36;Avenida Governador Agamenon Magalhaes
5;Avenida Conselheiro Aguiar
5;Rua Jean Emile Favre
1;Rua Guanabara
1;Rua Doutor Gomes Porto
39;Avenida Beberibe
33;Avenida Recife
4;Estrada Velha de Agua Fria
7;Rua Treze de Maio
2;Rua Alto do Eucalipto
1;Rua das Pernambucanas
1;Rua Rio das Pedras
2;Rua Nicolau Pereira
5;Estrada do Bongi
1;Rua Gaspar Perez
1;Praca Farias Neves
1;Avenida General Manoel Rabelo
26;PE-007
1;Rua Dianopolis
3;Rua Itajai
6;Rua Imperial
10;Rua Benfica
26;PE-007
13;Avenida Domingos Ferreira
20;Avenida Doutor Jose Rufino
4;Avenida Central
33;Avenida Recife
1;460
1;Avenida Professor Moraes Rego
1;Rua Asterio Rufino Alves
30;Avenida Caxanga
2;324
16;Avenida Sul Governador Cid Sampaio
3;Cais do Apolo
36;Avenida Governador Agamenon Magalhaes
25;Avenida Engenheiro Abdias de Carvalho
3;Rua Itacari
2;2820
10;Rua Benfica
1;Rua Olimpio Tavares
3;Rua Itajai
5;Avenida Maria Irene
12;Rua Vinte e Um de Abril
2;Rua 10 de Novembro
30;PE-008
30;PE-008
3;Rua Carlos Gomes
10;Rua Benfica
36;Avenida Governador Agamenon Magalhaes
2;Rua Clara
3;Rua Emilio Monteiro Fonseca
1;5132
1;Rua Doutor Fernando Alain
3;Avenida Presidente Dutra
39;Avenida Beberibe
10;Rua Benfica
2;Avenida General Mac Arthur
2;Rua Professor Mario de Castro
20;Avenida Doutor Jose Rufino
4;Rua Sao Bento
30;PE-008
8;Rua Antonio Falcao
7;PE-009
6;Avenida Professor Jose dos Anjos
30;Avenida Caxanga
2;Recife
5;Avenida Sport Clube do Recife
3;Rua Itacari
14;Estrada de Belem
1;Rua Lorena
42;Avenida Norte Miguel Arraes de Alencar
6;Rua Imperial
8;Rua Visconde de Jequitinhonha
39;Avenida Beberibe
42;Avenida Norte Miguel Arraes de Alencar
2;Rua Ernesto de Paula Santos
1;Avenida da Recuperacao
7;Rua Treze de Maio
3;PE-001
4;Avenida Vereador Otacilio Azevedo
1;Rua Siqueira Campos
12;Rua Vinte e Um de Abril
4;Avenida Visconde de Suassuna
4;Rua Vasco da Gama
3;Avenida Professor Estevao Francisco da Costa
30;PE-008
5;Rua Barao de Souza Leao
10;PE-005
3;Rua Professor Jose Brandao
3;29
1;1140
36;Avenida Governador Agamenon Magalhaes
20;Avenida Doutor Jose Rufino
36;Avenida Governador Agamenon Magalhaes
2;Rua Floriano Peixoto
5;Avenida Joao de Barros
2;Rua Aprigio Guimaraes
2;Rua Nicolau Pereira
1;Rua Ipitanga
33;Avenida Recife
13;Avenida Domingos Ferreira
1;Rua Arapari
36;Avenida Governador Agamenon Magalhaes
12;Rua Vinte e Um de Abril
7;Avenida Conde da Boa Vista
3;Rua Professor Jose Brandao
1;Ponte Giratoria
3;Rua Cosme Viana
30;Avenida Caxanga
3;Rua Cosme Viana
1;1
42;Avenida Norte Miguel Arraes de Alencar
4;Avenida Afonso Olindense
1;Avenida da Arquitetura
5;Avenida Conselheiro Aguiar
30;PE-008
1;Rua da Soledade
2;Rua Jamaica
3;Avenida Dom Helder Camara
1;110
12;Rua Vinte e Um de Abril
1;267
39;Avenida Beberibe
5;Rua de Apipucos
1;Rua Copacabana
39;Avenida Beberibe
4;Rua Ribeiro Pessoa
13;Avenida Domingos Ferreira
3;317
2;127
36;Avenida Governador Agamenon Magalhaes
1;Estrada do Curado
33;Avenida Recife
4;Avenida Central
4;Rua Sao Bento
4;Estrada Velha de Agua Fria
5;Rua Odorico Mendes
1;444
1;Rua do Futuro
4;Estrada do Forte do Arraial Novo do Bom Jesus
2;127
1;Rua Eloi Mendes
3;118
1;Rua Doutor Joao Santos Filho
1;Rua Cambuca
8;Rua Gomes Taborda
1;264
2;Rua Padre Carapuceiro
39;Avenida Beberibe
3;Rua Emilio Monteiro Fonseca
36;Avenida Governador Agamenon Magalhaes
1;3585
4;Rua Sargento Silvino de Macedo
42;Avenida Norte Miguel Arraes de Alencar
16;Avenida Dezessete de Agosto
3;Avenida Desembargador Jose Neves
20;Avenida Doutor Jose Rufino
39;Avenida Beberibe
14;Estrada de Belem
36;Avenida Governador Agamenon Magalhaes
36;Avenida Governador Agamenon Magalhaes
1;Rua Porto Sergio
5;Rua Dom Bosco
6;Rua da Harmonia
33;Avenida Recife
5;Rua Dom Bosco
6;Rua Jose Bonifacio
7;Rua Padre Lemos
30;PE-008
1;Rua Capitao Gregorio de Albuquerque
2;Avenida Marechal Mascarenhas de Morais
1;Rua Vinte e Quatro de Agosto
3;Avenida Presidente Dutra
30;Avenida Caxanga
1;Avenida Montevideu
16;Avenida Dois Rios
19;Avenida Cruz Cabuga
33;Avenida Recife
2;Rua Antonio Curado
16;Avenida Dois Rios
16;Avenida Dois Rios
1;Rua General Americano Freire
2;Rua da Aurora
1;Rua Diogo Alvares
16;Avenida Dezessete de Agosto
39;Avenida Beberibe
5;Avenida Sport Clube do Recife
33;Avenida Recife
1;744
20;Avenida Doutor Jose Rufino
25;Avenida Engenheiro Abdias de Carvalho
39;Avenida Beberibe
1;Avenida Saturnino de Brito
16;Avenida Dois Rios
10;PE-005
2;Avenida Herculano Bandeira
6;Rua Jose Bonifacio
39;Avenida Beberibe
6;Rua Leandro Barreto
4;Avenida Vereador Otacilio Azevedo
2;Rua do Pombal
1;Rua Professor Jeronimo Gueiroz
5;Avenida Sport Clube do Recife
1;216
4;Rua Ribeiro Pessoa
7;Rua Padre Lemos
1;Rua Jener de Souza
5;Estrada do Bongi
1;1407
39;Avenida Beberibe
5;Avenida Joao de Barros
5;Estrada do Bongi
3;Rua do Hospicio
1;Rua Satiro Dias
1;Rua Santa Maria
1;Rua Padre Teofilo Tworz
33;Avenida Recife
3;Rua Emilio Monteiro Fonseca
2;Rua Aurora Cacote
1;Rua Marques de Baipendi
14;Estrada de Belem
25;Avenida Engenheiro Abdias de Carvalho
2;Avenida Jornalista Costa Porto
2;Rua dos Palmares
1;Rua Cosmorama
8;Rua Gomes Taborda
7;Rua Padre Lemos
1;Rua Coronel Murta
16;Avenida Dezessete de Agosto
30;Avenida Caxanga
11;Avenida Boa Viagem
3;Rua Jeronimo Vilela
26;PE-007
39;Avenida Beberibe
39;Avenida Beberibe
3;Rua Carlos Gomes
7;Rua Padre Lemos
3;Rua Conde de Iraja
2;Rua Bahia
2;Rua Gastao Vidigal
2;Rua Doutor Miguel Vieira Ferreira
2;Rua Dona Elvira
30;PE-008
3;Avenida Pinheiros
4;Rua do Machado
6;Avenida Professor Jose dos Anjos
1;Rua Doutor Benigno Jordao de Vasconcelos
1;Rua do Peixoto
1;502
3;Rua do Hospicio
8;Rua Antonio Falcao
5;Rua de Apipucos
3;Rua Jose da Silva Lucena
6;Rua da Harmonia
7;PE-009
4;Avenida Visconde de Suassuna
10;PE-005
25;Avenida Engenheiro Abdias de Carvalho
3;Avenida Conselheiro Rosa e Silva
1;Rua Manoel Estevao da Costa
3;Avenida Professor Estevao Francisco da Costa
12;Rua Vinte e Um de Abril
4;Avenida Mario Melo
2;454
1;Avenida Sebastiao Salazar
1;Rua Silveira Lira
3;Avenida Luis Correa de Brito
16;Avenida Sul Governador Cid Sampaio
42;Avenida Norte Miguel Arraes de Alencar
1;Rua Andorinha
19;Avenida Cruz Cabuga
42;Avenida Norte Miguel Arraes de Alencar
6;Rua Joao Ivo da Silva
2;Estrada do Barbalho
9;Avenida Antonio de Goes
20;Avenida Doutor Jose Rufino
1;Rua Tamboara
13;Avenida Domingos Ferreira
19;Avenida Cruz Cabuga
3;29
4;Rua Ribeiro Pessoa
1;Estrada das Ubaias
1;Avenida Guararapes
2;Rua Alto do Eucalipto
1;71
36;Avenida Governador Agamenon Magalhaes
2;Rua Padre Bernadino Pessoa
25;Avenida Engenheiro Abdias de Carvalho
1;Avenida Portugal
